# Non-Graphitized carbon black (NGCB), N2, 87.3 K, data
# K. Nakai et al., DOI:10.1016/j.jcis.2011.10.061
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 6.72 [cm3(STP)/g], V(theta=1)=4.21 [cm3(STP)/g], S(BET) = 18.9 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 18.9/6.72 = slope[cm3(STP)/g] * 2.8125
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2), Gamma(N2/nm2)
0.00000020, 0.00104, 0.0166, 0.0100
0.00000040, 0.00218, 0.0347, 0.0209
0.00000060, 0.00335, 0.0532, 0.0321
0.0000010, 0.00552, 0.0878, 0.0528
0.0000015, 0.00791, 0.126, 0.0758
0.0000020, 0.01000, 0.159, 0.0957
0.0000025, 0.0117, 0.186, 0.112
0.0000030, 0.0133, 0.212, 0.128
0.0000035, 0.0147, 0.234, 0.141
0.0000040, 0.0160, 0.254, 0.153
0.0000050, 0.0181, 0.289, 0.174
0.0000060, 0.0202, 0.322, 0.194
0.0000070, 0.0220, 0.350, 0.211
0.0000080, 0.0238, 0.378, 0.228
0.0000090, 0.0254, 0.405, 0.244
0.000010, 0.0269, 0.428, 0.258
0.000015, 0.0333, 0.530, 0.319
0.000020, 0.0393, 0.625, 0.376
0.000030, 0.0483, 0.769, 0.463
0.000040, 0.0562, 0.894, 0.538
0.000050, 0.0622, 0.989, 0.595
0.000060, 0.0681, 1.08, 0.652
0.000070, 0.0736, 1.17, 0.705
0.000080, 0.0788, 1.25, 0.755
0.000090, 0.0838, 1.33, 0.802
0.00010, 0.0882, 1.40, 0.844
0.00012, 0.0965, 1.54, 0.924
0.00015, 0.108, 1.72, 1.04
0.00020, 0.125, 1.99, 1.20
0.00025, 0.141, 2.24, 1.35
0.00030, 0.154, 2.45, 2.45
0.00035, 0.166, 2.64, 1.59
0.00040, 0.177, 2.81, 1.69
0.00050, 0.195, 3.10, 1.87
0.00060, 0.211, 3.36, 2.02
0.00070, 0.224, 3.57, 2.15
0.00080, 0.236, 3.76, 2.26
0.0010, 0.256, 4.07, 2.45
0.0015, 0.295, 4.69, 2.83
0.0020, 0.323, 5.13, 3.09
0.0030, 0.358, 5.70, 3.43
0.0040, 0.384, 6.10, 3.67
0.0050, 0.404, 6.43, 3.87
0.0070, 0.431, 6.86, 4.13
0.0080, 0.440, 7.00, 4.22
0.010, 0.457, 7.26, 4.37
0.015, 0.489, 7.78, 4.68
0.020, 0.509, 8.10, 4.88
0.025, 0.525, 8.34, 5.02
0.030, 0.540, 8.58, 5.17
0.040, 0.563, 8.95, 5.39
0.050, 0.581, 9.24, 5.57
0.070, 0.611, 9.72, 5.85
0.080, 0.624, 9.92, 5.97
0.10, 0.649, 10.3, 6.22
0.15, 0.707, 11.2, 6.76
0.20, 0.760, 12.1, 7.28
0.25, 0.817, 13.0, 7.82
0.30, 0.875, 13.9, 8.37
0.35, 0.936, 14.9, 8.96
0.40, 1.000, 15.9, 9.57
