# graphite (OGA), Ar, 77 K, data, t
# K. Miura et al., Adsorption (2007) 13: 139-147.: DOI 10.1007/s10450-007-9015-7
# Vm=V(theta=1) = 1.42 [cm3/g], C-value = 653, S = 5.27 [m2/g]
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 2.761582 [cm3/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 5.27/2.761582 = slope[cm3(STP)/g] * 1.908326
# relative_pressure_X, V[cm3(STP)/g], theta, alpha-s, t[nm]
1.19E-03, 0.545, 0.3838, 0.197350649, 0.1289568
4.31E-03, 1.1235, 0.7912, 0.406832026, 0.2658432
1.50E-02, 1.2831, 0.9036, 0.464624987, 0.3036096
2.92E-02, 1.3612, 0.9586, 0.492905878, 0.3220896
4.85E-02, 1.4571, 1.0261, 0.52763235, 0.3447696
7.10E-02, 1.5123, 1.065, 0.547620893, 0.35784
0.1009, 1.5752, 1.1093, 0.570397692, 0.3727248
0.1369, 1.6367, 1.1526, 0.592667536, 0.3872736
0.1766, 1.7052, 1.2008, 0.617472159, 0.4034688
0.2117, 1.7745, 1.2496, 0.642566471, 0.4198656
0.2511, 1.8685, 1.3158, 0.676604932, 0.4421088
0.3053, 2.0453, 1.4404, 0.740626206, 0.4839744
0.3489, 2.3261, 1.6381, 0.842307054, 0.5504016
0.4008, 2.7684, 1.9496, 1.002468875, 0.6550656
0.4565, 3.0248, 2.1301, 1.095314208, 0.7157136
0.5097, 3.2282, 2.2734, 1.168967642, 0.7638624
0.5627, 3.4524, 2.4313, 1.250152992, 0.8169168
0.6059, 3.7043, 2.6087, 1.341368824, 0.8765232
0.6624, 4.2089, 2.964, 1.524090177, 0.995904
0.7159, 4.6465, 3.2722, 1.682550075, 1.0994592
0.7651, 5.0907, 3.585, 1.843399906, 1.20456
0.81, 5.6189, 3.957, 2.034667086, 1.329552
0.848, 6.3881, 4.4987, 2.313203084, 1.5115632
0.8664, 7.1563, 5.0396, 2.591376972, 1.6933056
0.9163, 8.921, 6.2824, 3.230394752, 2.1108864
0.9487, 12.151, 8.557, 4.400014195, 2.875152
