# LMA10, Ar, 87.3 K, data, t
# Standard data for the adsorption of Ar at 87.3 K on reference carbon LMA10.
# A. Silvestre-Albero et al., Carbon 66 (2014) 699. 
# (i.e., n/nm -where nm is the monolayer capacity from which the BET surface area is determined- against P/P0)
# nm = 7.37e-5 [mol/g], V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 2.68 [cm3(STP)/g]
# [pyGASP] S(BET) = 6 [m2/g], C = 101, nm = 7e-5 [mol/g]
#   Amount for a monolayer: n = 7.37e-5 / (1/1000/22.414) = 7.37e-5 / 4.461e-5 = 2.05110962 [cm3(STP)/g]
# S [m2/g]= slope [cm3(STP)/g] * 6.00/2.68 = slope [cm3(STP)/g] * 2.238806
# P/P0, alpha-s, n/nm, V[cm3(STP)/g], t[nm]
9.82E-06, 0.00165929, 0.00269599, 0.004446897, 0.000728463
2.04E-05, 0.00712006, 0.01156855, 0.019081761, 0.003125855
5.10E-05, 0.00859628, 0.01396708, 0.02303803, 0.003773947
7.04E-05, 0.00884297, 0.01436789, 0.02369916, 0.003882249
8.32E-05, 0.01350688, 0.02194573, 0.036198438, 0.005929803
9.60E-05, 0.02008158, 0.03262818, 0.053818634, 0.008816233
0.00016047, 0.02387656, 0.03879419, 0.063989181, 0.010482309
0.00026554, 0.03687081, 0.059907, 0.098813771, 0.016187056
0.00034209, 0.04637553, 0.07535009, 0.12428642, 0.020359827
0.00058726, 0.07750901, 0.12593518, 0.207724147, 0.034028076
0.00123357, 0.15798301, 0.25668784, 0.423394467, 0.069357844
0.00160473, 0.18868211, 0.30656716, 0.505668055, 0.082835391
0.00308055, 0.26731424, 0.43432719, 0.716402163, 0.117356539
0.00574851, 0.35417388, 0.57545511, 0.949185998, 0.155489737
0.00831957, 0.40258989, 0.65412052, 1.078940905, 0.176745377
0.01070805, 0.43049757, 0.6994644, 1.153733488, 0.188997433
0.01214353, 0.44284506, 0.71952638, 1.186824761, 0.194418239
0.01370239, 0.45677476, 0.74215909, 1.224156357, 0.200533668
0.01570822, 0.47133213, 0.76581163, 1.263170108, 0.206924658
0.01802586, 0.48080493, 0.78120286, 1.288557212, 0.211083415
0.02064989, 0.49224519, 0.79979079, 1.319217109, 0.216105928
0.02359458, 0.50155521, 0.81491753, 1.344167963, 0.220193222
0.02891659, 0.51070567, 0.82978502, 1.368691196, 0.224210465
0.0312283, 0.51251042, 0.83271735, 1.373527926, 0.225002788
0.03493375, 0.51740951, 0.84067729, 1.386657487, 0.227153591
0.03908301, 0.52791617, 0.85774832, 1.414815336, 0.231766234
0.04290497, 0.53529863, 0.86974321, 1.434600328, 0.235007288
0.04941448, 0.53931781, 0.87627349, 1.445371731, 0.236771793
0.05720449, 0.55387531, 0.89992624, 1.484385831, 0.243162839
0.06438413, 0.55908199, 0.90838596, 1.498339733, 0.245448681
0.07039935, 0.56963936, 0.92553938, 1.526633485, 0.250083587
0.07635671, 0.57633344, 0.93641579, 1.544573619, 0.253022428
0.08245729, 0.58277765, 0.94688624, 1.561844102, 0.255851571
0.08618729, 0.58616681, 0.95239288, 1.570927051, 0.257339483
0.09723496, 0.60166984, 0.97758191, 1.612475171, 0.264145637
0.10213188, 0.60760223, 0.98722074, 1.628373976, 0.26675008
0.11182984, 0.61840768, 1.00477724, 1.657332582, 0.271493899
0.12266302, 0.62952702, 1.02284374, 1.687132414, 0.276375522
0.13452307, 0.64437231, 1.04696408, 1.726917791, 0.282892914
0.15120782, 0.66257387, 1.07653765, 1.775697972, 0.29088378
0.16266403, 0.68129328, 1.10695258, 1.82586599, 0.299101992
0.17332344, 0.69274564, 1.12556016, 1.856558315, 0.304129817
0.18687477, 0.71535844, 1.16230101, 1.917160619, 0.314057309
0.19276984, 0.72234253, 1.17364864, 1.93587798, 0.317123471
0.20616791, 0.73646024, 1.19658683, 1.973713443, 0.32332144
0.22537268, 0.75983982, 1.23457353, 2.036370718, 0.333585565
0.23665109, 0.77239097, 1.25496641, 2.0700078, 0.339095782
0.24916867, 0.78865905, 1.28139847, 2.113606254, 0.346237809
0.26102109, 0.80839247, 1.31346097, 2.16649182, 0.354901193
0.2745616, 0.82230965, 1.33607334, 2.203789862, 0.361011126
0.28643247, 0.83126902, 1.35063036, 2.227800974, 0.364944477
0.29748604, 0.84834985, 1.37838298, 2.273577598, 0.372443318
0.30835129, 0.86344045, 1.40290189, 2.314020406, 0.379068407
0.31706619, 0.88269192, 1.43418134, 2.365614346, 0.387520205
0.32832121, 0.90067883, 1.46340612, 2.413819264, 0.395416834
0.33833297, 0.9213198, 1.49694319, 2.469137064, 0.404478652
0.34821173, 0.92793096, 1.50768487, 2.486854973, 0.407381089
0.36266393, 0.95113968, 1.54539397, 2.549054342, 0.417570202
0.37061517, 0.96034463, 1.56034999, 2.573723608, 0.421611368
0.37755694, 0.97839267, 1.58967411, 2.622092356, 0.429534835
0.38869415, 0.99172458, 1.61133555, 2.657821874, 0.435387822
0.39921733, 0.99997436, 1.62473964, 2.679931285, 0.439009648
0.41173251, 1.0187882, 1.65530802, 2.730352376, 0.447269317
0.43943355, 1.04866065, 1.70384422, 2.810410542, 0.460383947
0.48122554, 1.11289982, 1.80821882, 2.982571518, 0.488586285
0.5131092, 1.17033416, 1.90153707, 3.136495549, 0.513801161
0.5543749, 1.26271155, 2.05163012, 3.384066954, 0.554356766
0.57507143, 1.31611545, 2.13839977, 3.527189406, 0.577802195
0.61567714, 1.40280661, 2.27925395, 3.759521715, 0.615861426
0.64390616, 1.46718844, 2.38386035, 3.932065019, 0.644126396
0.66739655, 1.53651334, 2.49649815, 4.117855751, 0.674561476
0.69219149, 1.61324947, 2.62117759, 4.32350858, 0.708250241
0.71022704, 1.65720354, 2.69259333, 4.441305487, 0.727546997
0.73636616, 1.7617356, 2.86243507, 4.721451408, 0.773438756
0.76148265, 1.8620926, 3.02549325, 4.990408168, 0.817497577
0.77778212, 1.92495401, 3.12762929, 5.158876747, 0.84509505
0.83945789, 2.24411955, 3.6462035, 6.014240394, 0.985215394
0.87334823, 2.49297747, 4.05054318, 6.68117962, 1.094469223
0.89448289, 2.70842827, 4.40060361, 7.258587764, 1.189056628
0.91735845, 3.07514184, 4.99643297, 8.241380131, 1.350051551
0.93146746, 3.41458014, 5.54794598, 9.151074775, 1.499072061
0.95317438, 4.01491088, 6.52335215, 10.75996116, 1.762629805
0.95706526, 4.18627404, 6.8017798, 11.21921443, 1.837861815
0.97466155, 4.87102309, 7.91434727, 13.05434188, 2.138480961
0.98350435, 5.72501979, 9.30190514, 15.34305304, 2.513403365
0.99393854, 7.44402132, 12.09490667, 19.94997714, 3.268080971
0.99493686, 7.89925866, 12.8345678, 21.17001321, 3.46793968
