# Carbopack F Graphitized Carbon Black, N2, 77.4 K, data, t
# M. Kruk et al., Langmuir 15 (1999) 1435-1441.
# BET specific surface area (m2/g): 6.2
# total pore volume (cm3/g): 0.02
# % graphite crystallinity: 95
# adsorption potential of monolayer formation (kJ/mol): 5.55
# adsorption potential of two-dimensional fluid-solid phase transition (kJ/mol): 3.12
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 2.658 [cm3(STP)/g], S(BET) = 6.2 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 6.2/2.658 = slope[cm3(STP)/g] * 2.332581
# [pyGASP] BET surface area: a = 7 m2/g, The BET constant is: C = 1728, Amount for a monolayer: n = 7e-05 mol/g
#   Amount for a monolayer: n = 7e-05 / (1/1000/22.414) = 7e-05 / 4.461e-5 = 1.569155 [cm3(STP)/g]
# Graphitized_Carbon_Blacks, 
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
4.13E-06, 0.0041, 0.0108978, 0.002458534
9.01E-06, 0.0083, 0.0220614, 0.004977033
1.39E-05, 0.0124, 0.0329592, 0.007435567
1.87E-05, 0.0166, 0.0441228, 0.009954065
2.33E-05, 0.0207, 0.0550206, 0.012412599
2.78E-05, 0.0248, 0.0659184, 0.014871134
3.22E-05, 0.029, 0.077082, 0.017389632
3.65E-05, 0.0332, 0.0882456, 0.01990813
4.07E-05, 0.0373, 0.0991434, 0.022366665
4.84E-05, 0.0453, 0.1204074, 0.027163804
5.58E-05, 0.0532, 0.1414056, 0.03190098
6.29E-05, 0.0612, 0.1626696, 0.03669812
6.96E-05, 0.0692, 0.1839336, 0.04149526
7.61E-05, 0.0772, 0.2051976, 0.0462924
8.24E-05, 0.0851, 0.2261958, 0.051029575
8.85E-05, 0.0931, 0.2474598, 0.055826715
9.44E-05, 0.101, 0.268458, 0.060563891
1.00E-04, 0.109, 0.289722, 0.065361031
1.06E-04, 0.117, 0.310986, 0.07015817
1.11E-04, 0.125, 0.33225, 0.07495531
1.17E-04, 0.133, 0.353514, 0.07975245
1.22E-04, 0.141, 0.374778, 0.08454959
1.28E-04, 0.149, 0.396042, 0.08934673
1.33E-04, 0.157, 0.417306, 0.09414387
1.39E-04, 0.165, 0.43857, 0.09894101
1.46E-04, 0.173, 0.459834, 0.10373815
1.52E-04, 0.181, 0.481098, 0.108535289
1.57E-04, 0.189, 0.502362, 0.113332429
1.63E-04, 0.197, 0.523626, 0.118129569
1.69E-04, 0.205, 0.54489, 0.122926709
1.75E-04, 0.213, 0.566154, 0.127723849
1.82E-04, 0.221, 0.587418, 0.132520989
1.88E-04, 0.229, 0.608682, 0.137318129
1.95E-04, 0.237, 0.629946, 0.142115268
2.02E-04, 0.245, 0.65121, 0.146912408
2.09E-04, 0.253, 0.672474, 0.151709548
2.17E-04, 0.261, 0.693738, 0.156506688
2.25E-04, 0.269, 0.715002, 0.161303828
2.34E-04, 0.276, 0.733608, 0.165501325
2.43E-04, 0.284, 0.754872, 0.170298465
2.53E-04, 0.292, 0.776136, 0.175095605
2.63E-04, 0.299, 0.794742, 0.179293102
2.74E-04, 0.307, 0.816006, 0.184090242
2.86E-04, 0.315, 0.83727, 0.188887382
3.00E-04, 0.323, 0.858534, 0.193684522
3.15E-04, 0.331, 0.879798, 0.198481662
3.31E-04, 0.339, 0.901062, 0.203278802
3.50E-04, 0.347, 0.922326, 0.208075942
3.71E-04, 0.354, 0.940932, 0.212273439
3.94E-04, 0.362, 0.962196, 0.217070579
4.21E-04, 0.369, 0.980802, 0.221268076
4.49E-04, 0.377, 1.002066, 0.226065216
4.82E-04, 0.385, 1.02333, 0.230862356
5.22E-04, 0.392, 1.041936, 0.235059853
5.67E-04, 0.4, 1.0632, 0.239856993
6.20E-04, 0.407, 1.081806, 0.24405449
6.82E-04, 0.414, 1.100412, 0.248251988
7.54E-04, 0.422, 1.121676, 0.253049128
8.85E-04, 0.432, 1.148256, 0.259045553
