# Standard Adsorption Data of N2 Gas for Nonporous Silica
# M. Hakuman et al., Journal of Colloid and Interface Science 241, 127-141 (2001).: doi:10.1006/jcis.2001.7715
# Point N, Pi(kPa) (initial), Pe (kPa) (equilibrium), P0 (kPa), Pe/P0, V(cm3(STP)/g)
1, 2.757, 0.003, 101.98, 0.00003, 0.273
2, 6.063, 0.472, 101.88, 0.00463, 0.789
3, 7.545, 2.669, 101.42, 0.02632, 1.091
4, 6.835, 4.361, 101.33, 0.04304, 1.197
5, 4.733, 4.518, 101.29, 0.04461, 1.205
6, 6.458, 5.351, 101.16, 0.05290, 1.246
7, 9.816, 7.353, 101.26, 0.07261, 1.325
8, 7.350, 7.353, 100.93, 0.07285, 1.324
9, 8.743, 7.949, 101.00, 0.07870, 1.354
10, 10.07, 8.928, 101.23, 0.08820, 1.386
11, 11.41, 10.08, 101.29, 0.09954, 1.423
12, 12.33, 11.14, 101.55, 0.1097, 1.452
13, 17.54, 14.06, 101.46, 0.1386, 1.556
14, 23.04, 18.39, 101.78, 0.1807, 1.660
15, 28.38, 23.21, 101.81, 0.2279, 1.774
16, 33.75, 28.32, 101.88, 0.2780, 1.890
17, 38.90, 33.43, 102.01, 0.3277, 2.010
18, 47.10, 40.07, 101.68, 0.3941, 2.157
19, 55.01, 47.16, 101.72, 0.4637, 2.348
20, 63.31, 54.78, 101.65, 0.5389, 2.564
21, 70.83, 62.20, 102.04, 0.6096, 2.805
22, 78.93, 69.91, 101.91, 0.6860, 3.061
23, 87.13, 77.21, 101.94, 0.7573, 3.442
24, 92.50, 83.33, 101.81, 0.8184, 3.846
25, 100.61, 89.22, 101.98, 0.8749, 4.489
26, 105.59, 93.48, 101.72, 0.9190, 5.338
27, 107.93, 95.79, 101.65, 0.9424, 6.351
28, 107.35, 97.29, 101.68, 0.9568, 7.226
29, 106.66, 98.01, 101.72, 0.9635, 8.026
30, 106.86, 98.56, 101.91, 0.9671, 8.804
31, 106.99, 99.21, 102.24, 0.9704, 9.522
32, 106.86, 99.27, 101.72, 0.9760, 10.27
33, 107.22, 99.41, 101.52, 0.9792, 11.03
34, 109.07, 99.86, 102.04, 0.9786, 11.91
35, 106.92, 100.15, 101.98, 0.9821, 12.56
36, 106.96, 100.32, 102.11, 0.9825, 13.20
37, 106.96, 100.54, 102.20, 0.9838, 13.82
38, 106.79, 100.61, 102.27, 0.9838, 14.43
39, 106.79, 100.61, 102.07, 0.9857, 15.04
40, 106.89, 100.77, 102.20, 0.9860, 15.64
41, 106.89, 100.74, 102.07, 0.9869, 16.25
42, 106.79, 100.80, 102.14, 0.9869, 16.84
43, 107.87, 100.90, 102.11, 0.9882, 17.52
44, 106.79, 101.00, 102.43, 0.9860, 18.09
45, 107.22, 101.07, 102.37, 0.9873, 18.70
46, 106.76, 101.10, 102.30, 0.9882, 19.26
47, 107.28, 101.19, 102.37, 0.9886, 19.85
48, 106.83, 101.13, 102.20, 0.9895, 20.42
49, 108.55, 101.13, 102.04, 0.9911, 21.16
