material,Carbosieve
material_batch,Test
temperature,77.347
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
9.66E-06,8.18E-02
1.10E-05,9.26E-02
1.78E-05,1.47E-01
2.75E-05,2.25E-01
3.94E-05,3.21E-01
5.34E-05,4.34E-01
6.91E-05,5.60E-01
8.66E-05,7.01E-01
0.000106,8.57E-01
0.000127,1.03E+00
0.000149,1.203586972
0.000173,1.396795652
0.000198,1.598062165
0.000225,1.815433137
0.000253,2.040850735
0.000283,2.282372792
0.000313,2.523883642
0.000345,2.781510158
0.000379,3.055229926
0.000414,3.33699632
0.00045,3.626820547
0.000488,3.932749233
0.000527,4.246724545
0.000566,4.56068865
0.000658,5.301348073
0.00075,6.042007496
0.000851,6.855120174
0.00096,7.732639481
0.00108,8.698716502
0.00121,9.745293404
0.00135,10.87238139
0.0015,12.07996927
0.00167,13.44857931
0.00186,14.97818912
0.00207,16.66882111
0.0023,18.52046406
0.00256,20.61362907
0.00285,22.94830493
0.00318,25.60501394
0.00355,28.58373368
0.00397,31.96499765
0.00446,35.9097944
0.00501,40.25594745
0.00565,43.10222286
0.00638,46.34874507
0.00722,50.08447525
0.00821,54.48729089
0.00934,59.51273383
0.0106,63.45764265
0.0109,64.00820894
0.0121,66.21045169
0.0148,71.16551467
0.0168,74.83593044
0.019,78.87338668
0.0243,86.30956739
0.0301,91.94794357
0.0338,95.40018147
0.039,100.2519607
0.0446,105.4769667
0.05,109.3730355
0.0604,114.8786871
0.0701,120.0137682
0.0802,124.9225462
0.0902,129.2899702
0.1,133.5525302
0.119,140.9303785
0.141,147.137084
0.162,152.8367065
0.182,157.8019566
0.202,161.7723502
0.222,165.7427437
0.243,169.382979
0.263,172.4624833
0.283,175.7614767
0.303,178.8922979
0.323,180.9475608
0.343,183.0028349
0.361,185.1499168
0.38,187.6471614
0.4,190.0795063
0.42,191.6676727
0.44,193.2558278
0.46,195.0706894
0.48,196.995727
0.5,198.8690331
0.52,200.2683167
0.54,201.6579511
0.56,202.9358517
0.58,204.1269653
0.6,205.3214297
0.62,206.5494368
0.64,207.7789791
0.66,208.942333
0.68,210.0633916
0.7,211.1903563
0.72,212.5991883
0.739,213.9619371
0.76,215.3656587
0.78,216.595201
0.801,217.8085605
0.82,218.3804313
0.841,219.0057707
0.861,219.7514957
0.882,220.6408608
0.901,221.5750427
0.921,222.9646771
0.94,224.2848281
0.958,224.8692955
0.972,225.0281099
0.981,225.1302057
0.995,225.2890201
