material,Norit
material_batch,Test
temperature,87.30
adsorbate,H2
date,12/09/2022 00:00
t_act,200
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,TRUE
pressure_unit,atm
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data,
pressure,loading
3.90806E-06,22.04408818
6.05304E-06,30.06012024
7.79104E-06,36.07214429
1.52729E-05,44.08817635
3.149E-05,58.11623246
6.2778E-05,74.14829659
0.000127277,94.18837675
0.000249504,118.2364729
0.000505847,138.2765531
0.000619038,146.2925852
0.001276346,164.3286573
0.002460292,182.3647295
0.005072681,198.3967936
0.009944065,214.4288577
0.031668697,242.4849699
0.052375152,258.5170341
0.06455542,262.5250501
0.081607795,270.5410822
0.098660171,276.5531062
0.149817296,286.5731463
0.200974421,294.5891784
0.249695493,298.5971944
0.300852619,302.6052104
0.350791717,306.6132265
0.401948843,310.6212425
0.450669915,314.6292585
0.50182704,318.6372745
0.550548112,322.6452906
0.599269184,324.6492986
0.647990256,330.6613226
0.700365408,336.6733467
0.74908648,342.6853707
0.800243605,346.6933868
0.848964677,350.7014028
0.897685749,352.7054108
0.950060901,362.7254509
