material,OGA
material_batch,Test
temperature,77.000
adsorbate,Ar
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
1.19E-03, 0.545
4.31E-03, 1.1235
1.50E-02, 1.2831
2.92E-02, 1.3612
4.85E-02, 1.4571
7.10E-02, 1.5123
0.1009, 1.5752
0.1369, 1.6367
0.1766, 1.7052
0.2117, 1.7745
0.2511, 1.8685
0.3053, 2.0453
0.3489, 2.3261
0.4008, 2.7684
0.4565, 3.0248
0.5097, 3.2282
0.5627, 3.4524
0.6059, 3.7043
0.6624, 4.2089
0.7159, 4.6465
0.7651, 5.0907
0.81, 5.6189
0.848, 6.3881
0.8664, 7.1563
0.9163, 8.921
0.9487, 12.151
