material,Si-PILC1273K
material_batch,Test
temperature,77.000
adsorbate,N2
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
0.0001, 0.0052
0.0002, 0.0091
0.0003, 0.0104
0.0004, 0.0117
0.0005, 0.013
0.0006, 0.0143
0.0007, 0.01495
0.0008, 0.0156
0.0009, 0.0169
0.001, 0.01755
0.0012, 0.01885
0.0014, 0.02015
0.0016, 0.0208
0.0018, 0.02145
0.0021, 0.02275
0.0024, 0.02405
0.0027, 0.02535
0.003, 0.026
0.0034, 0.02795
0.0038, 0.02925
0.0043, 0.03055
0.0048, 0.0325
0.0053, 0.0338
0.0058, 0.0351
0.0063, 0.03705
0.0071, 0.039
0.0076, 0.0403
0.0084, 0.0429
0.0092, 0.04485
0.01, 0.0468
0.0125, 0.05265
0.015, 0.05785
0.0175, 0.0624
0.02, 0.0676
0.025, 0.0767
0.03, 0.08645
0.035, 0.09555
0.04, 0.104
0.05, 0.1222
0.06, 0.13975
0.07, 0.156
0.08, 0.17225
0.09, 0.18915
0.1, 0.2054
0.12, 0.23725
0.14, 0.2704
0.16, 0.30095
0.18, 0.33085
0.2, 0.35945
0.225, 0.39975
0.25, 0.43615
0.275, 0.4758
0.3, 0.51285
0.325, 0.54795
0.35, 0.5811
0.375, 0.61555
0.4, 0.65
0.425, 0.68575
0.45, 0.72215
0.475, 0.75985
0.5, 0.7956
0.525, 0.8294
0.55, 0.8645
0.575, 0.9048
0.6, 0.9399
0.625, 0.9828
0.65, 1.0205
0.675, 1.05885
0.7, 1.09785
0.725, 1.1388
0.75, 1.183
0.775, 1.2298
0.8, 1.27595
0.82, 1.31755
0.84, 1.3676
0.86, 1.42025
0.88, 1.48395
0.9, 1.5457
0.91, 1.58795
0.92, 1.63475
0.93, 1.6913
0.94, 1.7667
0.95, 1.87655
0.96, 1.98705
0.97, 2.18725
